#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Расход,Параметр:Заказной код:Среда,Параметр:Заказной код:Конфигурация
,MF200E-B-G-0-A-A-0-4N-IP-L-S(5-50),NPT 1/4,5-50 л/ч,Жидкость,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-O-S(5-50),NPT 1/4,5-50 л/ч,Масло,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-L-S(6-60),NPT 1/4,6-60 л/ч,Жидкость,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-O-S(6-60),NPT 1/4,6-60 л/ч,Масло,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-L-S(10-100),NPT 1/4,10-100 л/ч,Жидкость,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-O-S(10-100),NPT 1/4,10-100 л/ч,Масло,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-L-S(15-150),NPT 1/2,15-150 л/ч,Жидкость,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-O-S(15-150),NPT 1/2,15-150 л/ч,Масло,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-L-S(25-250),NPT 1/2,25-250 л/ч,Жидкость,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-O-S(25-250),NPT 1/2,25-250 л/ч,Масло,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-L-S(45-450),NPT 1/2,45-450 л/ч,Жидкость,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-O-S(45-450),NPT 1/2,45-450 л/ч,Масло,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-6N-IP-L-S(75-750),NPT 3/4,75-750 л/ч,Жидкость,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-6N-IP-O-S(75-750),NPT 3/4,75-750 л/ч,Масло,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(21-210),NPT 1/4,21-210 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(21-210),NPT 1/4,21-210 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(33-330),NPT 1/4,33-330 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(33-330),NPT 1/4,33-330 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(48-480),NPT 1/4,48-480 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(48-480),NPT 1/4,48-480 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(60-600),NPT 1/4,60-600 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(60-600),NPT 1/4,60-600 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(72-720),NPT 1/4,72-720 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(72-720),NPT 1/4,72-720 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(90-900),NPT 1/4,90-900 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(90-900),NPT 1/4,90-900 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(120-1200),NPT 1/4,120-1200 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(120-1200),NPT 1/4,120-1200 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(180-1800),NPT 1/4,180-1800 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(180-1800),NPT 1/4,180-1800 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-S-S(300-3000),NPT 1/4,300-3000 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-4N-IP-G-S(300-3000),NPT 1/4,300-3000 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-S-S(500-5000),NPT 1/2,500-5000 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-G-S(500-5000),NPT 1/2,500-5000 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-S-S(750-7500),NPT 1/2,750-7500 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-G-S(750-7500),NPT 1/2,750-7500 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-S-S(1500-15000),NPT 1/2,1500-15000 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-2N-IP-G-S(1500-15000),NPT 1/2,1500-15000 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-6N-IP-S-S(2000-20000),NPT 3/4,2000-20000 нл/ч,Пар,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-B-G-0-A-A-0-6N-IP-G-S(2000-20000),NPT 3/4,2000-20000 нл/ч,Газ,Подсоединения сзади + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Bm.png'>
,MF200E-R-G-0-A-A-15-2F-IP-L-S(15-150),ANSI 150# 1/2,15-150 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-2F-IP-O-S(15-150),ANSI 150# 1/2,15-150 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-2F-IP-L-S(15-150),ANSI 300# 1/2,15-150 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-2F-IP-O-S(15-150),ANSI 300# 1/2,15-150 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-2F-IP-L-S(15-150),ANSI 600# 1/2,15-150 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-2F-IP-O-S(15-150),ANSI 600# 1/2,15-150 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-2F-IP-L-S(15-150),Гост Py10 Dy15,15-150 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-2F-IP-O-S(15-150),Гост Py10 Dy15,15-150 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-2F-IP-L-S(15-150),Гост Py16 Dy15,15-150 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-2F-IP-O-S(15-150),Гост Py16 Dy15,15-150 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-2F-IP-L-S(15-150),Гост Py25 Dy15,15-150 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-2F-IP-O-S(15-150),Гост Py25 Dy15,15-150 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-2F-IP-L-S(25-250),ANSI 150# 1/2,25-250 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-2F-IP-O-S(25-250),ANSI 150# 1/2,25-250 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-2F-IP-L-S(25-250),ANSI 300# 1/2,25-250 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-2F-IP-O-S(25-250),ANSI 300# 1/2,25-250 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-2F-IP-L-S(25-250),ANSI 600# 1/2,25-250 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-2F-IP-O-S(25-250),ANSI 600# 1/2,25-250 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-2F-IP-L-S(25-250),Гост Py10 Dy15,25-250 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-2F-IP-O-S(25-250),Гост Py10 Dy15,25-250 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-2F-IP-L-S(25-250),Гост Py16 Dy15,25-250 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-2F-IP-O-S(25-250),Гост Py16 Dy15,25-250 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-2F-IP-L-S(25-250),Гост Py25 Dy15,25-250 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-2F-IP-O-S(25-250),Гост Py25 Dy15,25-250 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-2F-IP-L-S(45-450),ANSI 150# 1/2,45-450 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-2F-IP-O-S(45-450),ANSI 150# 1/2,45-450 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-2F-IP-L-S(45-450),ANSI 300# 1/2,45-450 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-2F-IP-O-S(45-450),ANSI 300# 1/2,45-450 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-2F-IP-L-S(45-450),ANSI 600# 1/2,45-450 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-2F-IP-O-S(45-450),ANSI 600# 1/2,45-450 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-2F-IP-L-S(45-450),Гост Py10 Dy15,45-450 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-2F-IP-O-S(45-450),Гост Py10 Dy15,45-450 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-2F-IP-L-S(45-450),Гост Py16 Dy15,45-450 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-2F-IP-O-S(45-450),Гост Py16 Dy15,45-450 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-2F-IP-L-S(45-450),Гост Py25 Dy15,45-450 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-2F-IP-O-S(45-450),Гост Py25 Dy15,45-450 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-6F-IP-L-S(75-750),ANSI 150# 3/4,75-750 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-6F-IP-O-S(75-750),ANSI 150# 3/4,75-750 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-6F-IP-L-S(75-750),ANSI 300# 3/4,75-750 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-6F-IP-O-S(75-750),ANSI 300# 3/4,75-750 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-6F-IP-L-S(75-750),ANSI 600# 3/4,75-750 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-6F-IP-O-S(75-750),ANSI 600# 3/4,75-750 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-6F-IP-L-S(75-750),Гост Py10 Dy20,75-750 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-6F-IP-O-S(75-750),Гост Py10 Dy20,75-750 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-6F-IP-L-S(75-750),Гост Py16 Dy20,75-750 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-6F-IP-O-S(75-750),Гост Py16 Dy20,75-750 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-6F-IP-L-S(75-750),Гост Py25 Dy20,75-750 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-6F-IP-O-S(75-750),Гост Py25 Dy20,75-750 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-10F-IP-L-S(100-1000),ANSI 150# 1,100-1000 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-10F-IP-O-S(100-1000),ANSI 150# 1,100-1000 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-10F-IP-L-S(100-1000),ANSI 300# 1,100-1000 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-10F-IP-O-S(100-1000),ANSI 300# 1,100-1000 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-10F-IP-L-S(100-1000),ANSI 600# 1,100-1000 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-10F-IP-O-S(100-1000),ANSI 600# 1,100-1000 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-10F-IP-L-S(100-1000),Гост Py10 Dy25,100-1000 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-10F-IP-O-S(100-1000),Гост Py10 Dy25,100-1000 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-10F-IP-L-S(100-1000),Гост Py16 Dy25,100-1000 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G16-10F-IP-O-S(100-1000),Гост Py16 Dy25,100-1000 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-10F-IP-L-S(100-1000),Гост Py25 Dy25,100-1000 л/ч,Жидкость,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G25-10F-IP-O-S(100-1000),Гост Py25 Dy25,100-1000 л/ч,Масло,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-2F-IP-G-S(500-5000),ANSI 150# 1/2,500-5000 нл/ч,Газ,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-15-2F-IP-S-S(500-5000),ANSI 150# 1/2,500-5000 нл/ч,Пар,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-2F-IP-G-S(500-5000),ANSI 300# 1/2,500-5000 нл/ч,Газ,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-30-2F-IP-S-S(500-5000),ANSI 300# 1/2,500-5000 нл/ч,Пар,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-2F-IP-G-S(500-5000),ANSI 600# 1/2,500-5000 нл/ч,Газ,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-60-2F-IP-S-S(500-5000),ANSI 600# 1/2,500-5000 нл/ч,Пар,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
,MF200E-R-G-0-A-A-G10-2F-IP-S-S(500-5000),Гост Py10 Dy15,500-5000 нл/ч,Пар,Фланцевые подсоединения + регулирующий вентиль<br><img src='products/flow-control/float-flow-meter-arrow/MF200E-Rm.png'>
