#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Условное обозначение:Заказной код:Подсоединение,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал уплотнения сальника,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Тип иглы
,NV1-H-A-3M-R,Hy-Lok 3mm,414 бар,"0,09",2,Hy-Lok 3mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-A-6M-R,Hy-Lok 6mm,414 бар,"0,37","4,3",Hy-Lok 6mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-A-8M-R,Hy-Lok 8mm,414 бар,"0,37","4,3",Hy-Lok 8mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-A-10M-R,Hy-Lok 10mm,414 бар,"0,73","6,3",Hy-Lok 10mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-A-12M-R,Hy-Lok 12mm,414 бар,"0,73","6,3",Hy-Lok 12mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-12M-R,Hy-Lok 12mm,414 бар,"1,8","9,5",Hy-Lok 12mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-14M-R,Hy-Lok 14mm,414 бар,"1,8","9,5",Hy-Lok 14mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-16M-R,Hy-Lok 16mm,414 бар,"1,8","9,5",Hy-Lok 16mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-18M-R,Hy-Lok 18mm,414 бар,"1,8","9,5",Hy-Lok 18mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-20M-R,Hy-Lok 20mm,414 бар,"1,8","9,5",Hy-Lok 20mm,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-H-A-2T-R,Hy-Lok 1/8,414 бар,"0,09",2,Hy-Lok 1/8,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-A-4T-R,Hy-Lok 1/4,414 бар,"0,37","4,3",Hy-Lok 1/4,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-A-6T-R,Hy-Lok 3/8,414 бар,"0,73","6,3",Hy-Lok 3/8,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-A-8T-R,Hy-Lok 1/2,414 бар,"0,73","6,3",Hy-Lok 1/2,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-8T-R,Hy-Lok 1/2,414 бар,"1,8","9,5",Hy-Lok 1/2,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-10T-R,Hy-Lok 5/8,414 бар,"1,8","9,5",Hy-Lok 5/8,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-12T-R,Hy-Lok 3/4,414 бар,"1,8","9,5",Hy-Lok 3/4,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-F-A-2N-R,NPT 1/8,414 бар,"0,09",2,NPT 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-F-A-2R-R,RT 1/8,414 бар,"0,09",2,RT 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-F-A-2N-R,NPT 1/8,414 бар,"0,37","4,3",NPT 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-F-A-2R-R,RT 1/8,414 бар,"0,37","4,3",RT 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-F-A-4N-R,NPT 1/4,414 бар,"0,73","6,3",NPT 1/4 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-F-A-4R-R,RT 1/4,414 бар,"0,73","6,3",RT 1/4 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-A-6N-R,NPT 3/8,414 бар,"1,8","9,5",NPT 3/8 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-A-6R-R,RT 3/8,414 бар,"1,8","9,5",RT 3/8 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-A-8N-R,NPT 1/2,414 бар,"1,8","9,5",NPT 1/2 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-A-8R-R,RT 1/2,414 бар,"1,8","9,5",RT 1/2 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-F-A-2G-R,G 1/8,414 бар,"0,37","4,3",G 1/8 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-F-A-4G-R,G 1/4,414 бар,"0,73","6,3",G 1/4 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-A-8G-R,G 1/2,414 бар,"1,8","9,5",G 1/2 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-A-12G-R,G 3/4,414 бар,"1,8","9,5",G 3/4 внутр.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-M-A-2N-R,NPT 1/8,414 бар,"0,09",2,NPT 1/8 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-M-A-2R-R,RT 1/8,414 бар,"0,09",2,RT 1/8 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-M-A-2N-R,NPT 1/8,414 бар,"0,37","4,3",NPT 1/8 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-M-A-2R-R,RT 1/8,414 бар,"0,37","4,3",RT 1/8 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-M-A-4N-R,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-M-A-4R-R,RT 1/4,414 бар,"0,37","4,3",RT 1/4 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-M-A-4N-R,NPT 1/4,414 бар,"0,73","6,3",NPT 1/4 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-M-A-4R-R,RT 1/4,414 бар,"0,73","6,3",RT 1/4 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-M-A-6N-R,NPT 3/8,414 бар,"0,73","6,3",NPT 3/8 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-M-A-6R-R,RT 3/8,414 бар,"0,73","6,3",RT 3/8 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-M-A-8N-R,NPT 1/2,414 бар,"1,8","9,5",NPT 1/2 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-M-A-8R-R,RT 1/2,414 бар,"1,8","9,5",RT 1/2 наруж.,-54°C,232°С,PTFE (стандарт),Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-H-3M-PK-R,Hy-Lok 3mm,414 бар,"0,09",2,Hy-Lok 3mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-6M-PK-R,Hy-Lok 6mm,414 бар,"0,37","4,3",Hy-Lok 6mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-8M-PK-R,Hy-Lok 8mm,414 бар,"0,37","4,3",Hy-Lok 8mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-10M-PK-R,Hy-Lok 10mm,414 бар,"0,73","6,3",Hy-Lok 10mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-12M-PK-R,Hy-Lok 12mm,414 бар,"0,73","6,3",Hy-Lok 12mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-12M-PK-R,Hy-Lok 12mm,414 бар,"1,8","9,5",Hy-Lok 12mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-14M-PK-R,Hy-Lok 14mm,414 бар,"1,8","9,5",Hy-Lok 14mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-16M-PK-R,Hy-Lok 16mm,414 бар,"1,8","9,5",Hy-Lok 16mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-18M-PK-R,Hy-Lok 18mm,414 бар,"1,8","9,5",Hy-Lok 18mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-20M-PK-R,Hy-Lok 20mm,414 бар,"1,8","9,5",Hy-Lok 20mm,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-H-2T-PK-R,Hy-Lok 1/8,414 бар,"0,09",2,Hy-Lok 1/8,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-4T-PK-R,Hy-Lok 1/4,414 бар,"0,37","4,3",Hy-Lok 1/4,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-6T-PK-R,Hy-Lok 3/8,414 бар,"0,73","6,3",Hy-Lok 3/8,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-8T-PK-R,Hy-Lok 1/2,414 бар,"0,73","6,3",Hy-Lok 1/2,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-8T-PK-R,Hy-Lok 1/2,414 бар,"1,8","9,5",Hy-Lok 1/2,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-10T-PK-R,Hy-Lok 5/8,414 бар,"1,8","9,5",Hy-Lok 5/8,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-12T-PK-R,Hy-Lok 3/4,414 бар,"1,8","9,5",Hy-Lok 3/4,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-F-2N-PK-R,NPT 1/8,414 бар,"0,09",2,NPT 1/8 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-F-2R-PK-R,RT 1/8,414 бар,"0,09",2,RT 1/8 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-F-2N-PK-R,NPT 1/8,414 бар,"0,37","4,3",NPT 1/8 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-F-2R-PK-R,RT 1/8,414 бар,"0,37","4,3",RT 1/8 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-F-4N-PK-R,NPT 1/4,414 бар,"0,73","6,3",NPT 1/4 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-F-4R-PK-R,RT 1/4,414 бар,"0,73","6,3",RT 1/4 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-6N-PK-R,NPT 3/8,414 бар,"1,8","9,5",NPT 3/8 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-6R-PK-R,RT 3/8,414 бар,"1,8","9,5",RT 3/8 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-8N-PK-R,NPT 1/2,414 бар,"1,8","9,5",NPT 1/2 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-8R-PK-R,RT 1/2,414 бар,"1,8","9,5",RT 1/2 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-F-2G-PK-R,G 1/8,414 бар,"0,37","4,3",G 1/8 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-F-4G-PK-R,G 1/4,414 бар,"0,73","6,3",G 1/4 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-8G-PK-R,G 1/2,414 бар,"1,8","9,5",G 1/2 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-F-12G-PK-R,G 3/4,414 бар,"1,8","9,5",G 3/4 внутр.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-M-2N-PK-R,NPT 1/8,414 бар,"0,09",2,NPT 1/8 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-M-2R-PK-R,RT 1/8,414 бар,"0,09",2,RT 1/8 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-M-2N-PK-R,NPT 1/8,414 бар,"0,37","4,3",NPT 1/8 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-M-2R-PK-R,RT 1/8,414 бар,"0,37","4,3",RT 1/8 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-M-4N-PK-R,NPT 1/4,414 бар,"0,37","4,3",NPT 1/4 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-M-4R-PK-R,RT 1/4,414 бар,"0,37","4,3",RT 1/4 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-M-4N-PK-R,NPT 1/4,414 бар,"0,73","6,3",NPT 1/4 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-M-4R-PK-R,RT 1/4,414 бар,"0,73","6,3",RT 1/4 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-M-6N-PK-R,NPT 3/8,414 бар,"0,73","6,3",NPT 3/8 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-M-6R-PK-R,RT 3/8,414 бар,"0,73","6,3",RT 3/8 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-M-8N-PK-R,NPT 1/2,414 бар,"1,8","9,5",NPT 1/2 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-M-8R-PK-R,RT 1/2,414 бар,"1,8","9,5",RT 1/2 наруж.,-54°C,232°С,PEEK,Проходной<br><img src=assets/images/NV_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-H-A-3M-PK-R,Hy-Lok 3mm,414 бар,"0,09",2,Hy-Lok 3mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-A-6M-PK-R,Hy-Lok 6mm,414 бар,"0,37","4,3",Hy-Lok 6mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-A-8M-PK-R,Hy-Lok 8mm,414 бар,"0,37","4,3",Hy-Lok 8mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-A-10M-PK-R,Hy-Lok 10mm,414 бар,"0,73","6,3",Hy-Lok 10mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-A-12M-PK-R,Hy-Lok 12mm,414 бар,"0,73","6,3",Hy-Lok 12mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-12M-PK-R,Hy-Lok 12mm,414 бар,"1,8","9,5",Hy-Lok 12mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-14M-PK-R,Hy-Lok 14mm,414 бар,"1,8","9,5",Hy-Lok 14mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-16M-PK-R,Hy-Lok 16mm,414 бар,"1,8","9,5",Hy-Lok 16mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-18M-PK-R,Hy-Lok 18mm,414 бар,"1,8","9,5",Hy-Lok 18mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-20M-PK-R,Hy-Lok 20mm,414 бар,"1,8","9,5",Hy-Lok 20mm,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-H-A-2T-PK-R,Hy-Lok 1/8,414 бар,"0,09",2,Hy-Lok 1/8,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-H-A-4T-PK-R,Hy-Lok 1/4,414 бар,"0,37","4,3",Hy-Lok 1/4,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-A-6T-PK-R,Hy-Lok 3/8,414 бар,"0,73","6,3",Hy-Lok 3/8,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV3-H-A-8T-PK-R,Hy-Lok 1/2,414 бар,"0,73","6,3",Hy-Lok 1/2,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-8T-PK-R,Hy-Lok 1/2,414 бар,"1,8","9,5",Hy-Lok 1/2,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-10T-PK-R,Hy-Lok 5/8,414 бар,"1,8","9,5",Hy-Lok 5/8,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV4-H-A-12T-PK-R,Hy-Lok 3/4,414 бар,"1,8","9,5",Hy-Lok 3/4,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-F-A-2N-PK-R,NPT 1/8,414 бар,"0,09",2,NPT 1/8 внутр.,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV1-F-A-2R-PK-R,RT 1/8,414 бар,"0,09",2,RT 1/8 внутр.,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
,NV2-F-A-2N-PK-R,NPT 1/8,414 бар,"0,37","4,3",NPT 1/8 внутр.,-54°C,232°С,PEEK,Угловой<br><img src=assets/images/NV_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/images/NV-needle-R.jpg>
