#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Выход,Параметр:Заказной код:Ду (мм),Параметр:Заказной код:Материал уплотнения,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал
,94620A1401,RT 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620A1403,RT 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620A1411,NPT 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620A1413,NPT 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1331,G 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1333,G 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1341,RT 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1343,RT 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1351,NPT 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1353,NPT 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1361,G 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1363,G 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1371,RT 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1373,RT 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1381,NPT 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1383,NPT 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1391,G 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1393,G 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1401,RT 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1403,RT 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,94620C1411,NPT 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Нерж.сталь
,94620C1413,NPT 1 1/2,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Нерж.сталь
,93620A1331,G 1,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1333,G 1,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620A1341,RT 1,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1343,RT 1,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620A1351,NPT 1,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1353,NPT 1,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620A1361,G 1 1/4,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1363,G 1 1/4,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620A1371,RT 1 1/4,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1373,RT 1 1/4,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620A1381,NPT 1 1/4,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1383,NPT 1 1/4,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620A1391,G 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1393,G 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620A1401,RT 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1403,RT 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620A1411,NPT 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620A1413,NPT 1 1/2,"от 0,3 до 28бар","15,9",G 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1331,G 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620C1333,G 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1341,RT 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620C1343,RT 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1351,NPT 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620C1353,NPT 1,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1361,G 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
,93620C1363,G 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Витон,-196°C,250°C,Латунь
,93620C1371,RT 1 1/4,"от 0,3 до 28бар","15,9",NPT 2,20мм,Нитрил,-196°C,250°C,Латунь
