#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Cv,Параметр:Заказной код:Ду,Параметр:Заказной код:Температура минимальная,Параметр:Заказной код:Температура максимальная,Параметр:Заказной код:Материал уплотнения сальника,Параметр:Заказной код:Форма корпуса,Параметр:Заказной код:Тип иглы
,GB1-H-6M-B-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-6M-B-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-6M-G,Hy-Lok 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-6M-G-B,Hy-Lok 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-6M-G-B-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-6M-G-B-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-6M-G-R,Hy-Lok 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-G-R-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-G-R-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-G-S,Hy-Lok 6mm,414бар,"0,35",4,-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-G-S-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-G-S-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-G-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-6M-G-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-6M-PK,Hy-Lok 6mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-6M-PK-B,Hy-Lok 6mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-6M-PK-B-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-6M-PK-B-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-6M-PK-R,Hy-Lok 6mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-PK-R-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-PK-R-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-PK-S,Hy-Lok 6mm,414бар,"0,35",4,-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-PK-S-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-PK-S-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-PK-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-6M-PK-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-6M-R,Hy-Lok 6mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-R-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-R-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-6M-S,Hy-Lok 6mm,414бар,"0,35",4,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-S-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-S-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-6M-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-6M-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-8M,Hy-Lok 8mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-8M-B,Hy-Lok 8mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-B-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-B-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-G-B,Hy-Lok 8mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-G-B-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-G-B-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-G-R,Hy-Lok 8mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-G-R-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-G-R-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-G-S,Hy-Lok 8mm,414бар,"0,35",4,-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-G-S-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-G-S-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,93°С,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-G-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-8M-G-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-8M-PK,Hy-Lok 8mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-8M-PK-B,Hy-Lok 8mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-PK-B-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-PK-B-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-8M-PK-R,Hy-Lok 8mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-PK-R-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-PK-R-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-PK-S,Hy-Lok 8mm,414бар,"0,35",4,-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-PK-S-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-PK-S-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,93°С,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-PK-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-8M-PK-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-8M-R,Hy-Lok 8mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-R-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-R-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-8M-S,Hy-Lok 8mm,414бар,"0,35",4,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-S-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-S-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,93°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-8M-SAPW,под приварку 8mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-8M-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Проходной<br><img src=assets/inventory/GB_H_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-A-4T,Hy-Lok 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-A-4T-B,Hy-Lok 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-4T-G,Hy-Lok 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-A-4T-G-B,Hy-Lok 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-4T-G-R,Hy-Lok 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-A-4T-G-S,Hy-Lok 1/4,414бар,"0,35",4,-54°С,93°С,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-A-4T-PK,Hy-Lok 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-A-4T-PK-B,Hy-Lok 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-4T-PK-R,Hy-Lok 1/4,414бар,"0,35",4,-54°С,315°C,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-A-4T-PK-S,Hy-Lok 1/4,414бар,"0,35",4,-54°С,93°С,PEEK,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-A-4T-R,Hy-Lok 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-A-4T-S,Hy-Lok 1/4,414бар,"0,35",4,-54°С,93°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
,GB1-H-A-6M,Hy-Lok 6mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-A-6M-B,Hy-Lok 6mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-6M-B-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-6M-B-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,232°С,PTFE (стандарт),Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-6M-G,Hy-Lok 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,V-образная<br><img src=assets/inventory/NV-needle-V.jpg>
,GB1-H-A-6M-G-B,Hy-Lok 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-6M-G-B-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-6M-G-B-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,B-Сферическая невращающаяся<br><img src=assets/inventory/NV-needle-B.jpg>
,GB1-H-A-6M-G-R,Hy-Lok 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-A-6M-G-R-SAPW,под приварку 6mm,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-A-6M-G-R-SAPW-4P,под приварку 1/4,414бар,"0,35",4,-54°С,648°C,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,R-Тонкой регулировки<br><img src=assets/inventory/NV-needle-R.jpg>
,GB1-H-A-6M-G-S,Hy-Lok 6mm,414бар,"0,35",4,-54°С,93°С,Grafoil,Угловой<br><img src=assets/inventory/GB_HA_s100.jpg>,S-С мягким уплотнителем<br><img src=assets/inventory/NV-needle-S.jpg>
