#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Длина (мм),Параметр:Заказной код:Тип корпуса,"Параметр:Заказной код:Материалы, контактирующие со средой",Параметр:Заказной код:Тип переключателей,Параметр:Заказной код:Размер и кол-во поплавков,Параметр:Заказной код:Размер поплавка,Параметр:Заказной код:Количество поплавков
,"ELS-403-B-G-2-3-5-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,1000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,2000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,1000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-3-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,2000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-3-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-5-3-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,1000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,2000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,1000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,2000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,1000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-3-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,2000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-3-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-8-3-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,1000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,2000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,XDS,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,1000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,2000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,XDA,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,1000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-3-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,2000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-3-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,3000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G-2-3-11-3-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",ANSI 150# 2,4000,S2,SS316,SPDT (150V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-3-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-3-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-1-3-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-3-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-3-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-3-3-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-3-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-3-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-4-3-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-3-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-3-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-6-3-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-3-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-3-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-7-3-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-1-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-1-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-1-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-1-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDS,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-2-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-2-C-B-L=2000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,2000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-2-C-B-L=3000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,3000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-2-C-B-L=4000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,4000,XDA,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
,"ELS-403-B-G10-2-1-9-3-C-B-L=1000mm-l1=____mm __ON, l2=____mm __ON, l3=____mm __ON, l4=____mm __ON",Гост Py10 Dy50,1000,S2,SS316,SPST (230V AC/DC),четыре C (SS316),C-Ø49x49 (SS316),четыре
