"code","image_path"
"T-MAB-S-G-6N-100-Q-__C-D-S-1-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-1-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-2-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-2-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-2-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-2-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-3-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-3-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-3-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-3-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-4-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-4-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-4-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-100-Q-__C-D-S-4-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-B-__C-A-S-1-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-1-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-1-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-1-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-2-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-2-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-2-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-2-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-3-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-3-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-3-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-3-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-4-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-4-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-4-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-A-S-4-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-1-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-1-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-1-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-1-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-2-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-2-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-2-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-2-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-3-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-3-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-3-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-3-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-4-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-4-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-4-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-B-S-4-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-1-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-1-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-1-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-1-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-2-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-2-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-2-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-2-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-3-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-3-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-3-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-3-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-4-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-4-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-4-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-C-S-4-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-1-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-1-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-1-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-1-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-2-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-2-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-2-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-2-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-3-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-3-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-3-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-3-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-4-__mm-G-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-4-__mm-G-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-4-__mm-L-1","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-B-__C-D-S-4-__mm-L-2","assets/inventory/she4-she4.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-1-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-1-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-1-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-1-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-2-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-2-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-2-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-2-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-3-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-3-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-3-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-3-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-4-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-4-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-4-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-A-S-4-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-1-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-1-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-1-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-1-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-2-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-2-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-2-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-2-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-3-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-3-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-3-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-3-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-4-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-4-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-4-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-B-S-4-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-1-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-1-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-1-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-1-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-2-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-2-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-2-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-2-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-3-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-3-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-3-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-3-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-4-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-4-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-4-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-C-S-4-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-1-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-1-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-1-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-1-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-2-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-2-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-2-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-2-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-3-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-3-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-3-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-3-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-4-__mm-G-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-4-__mm-G-2","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-4-__mm-L-1","assets/inventory/she4-qs-she4-qs.png"
"T-MAB-S-G-6N-150-Q-__C-D-S-4-__mm-L-2","assets/inventory/she4-qs-she4-qs.png"
