#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление на выходе,Параметр:Заказной код:Рукоятка,Параметр:Заказной код:Cv,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Конфигурация портов,Параметр:Заказной код:Температура,Параметр:Заказной код:Материал седла
,PRU200-1-C-1-2-A-C,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -40°С (стандарт),Тефлон (Макс. входное давление 41 бар)
,PRU200-1-C-1-2-C-C-LT,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-1-2-A-D,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -40°С (стандарт),Тефлон (Макс. входное давление 41 бар)
,PRU200-1-C-1-2-C-D-LT,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-1-2-A-E,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -40°С (стандарт),Тефлон (Макс. входное давление 41 бар)
,PRU200-1-C-1-2-C-E-LT,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-1-3-A-A,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,A<br><img src=assets/images/ports/pru/A2.jpg>,от -40°С (стандарт),Тефлон (Макс. входное давление 41 бар)
,PRU200-1-C-1-3-C-A-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,A<br><img src=assets/images/ports/pru/A2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-1-3-A-B,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,B<br><img src=assets/images/ports/pru/B2.jpg>,от -40°С (стандарт),Тефлон (Макс. входное давление 41 бар)
,PRU200-1-C-1-3-C-B-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,B<br><img src=assets/images/ports/pru/B2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-1-3-A-C,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -40°С (стандарт),Тефлон (Макс. входное давление 41 бар)
,PRU200-1-C-1-3-C-C-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-1-3-A-D,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -40°С (стандарт),Тефлон (Макс. входное давление 41 бар)
,PRU200-1-C-1-3-C-D-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-1-3-A-E,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -40°С (стандарт),Тефлон (Макс. входное давление 41 бар)
,PRU200-1-C-1-3-C-E-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-1-B-A,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,A<br><img src=assets/images/ports/pru/A2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-1-C-A-LT,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,A<br><img src=assets/images/ports/pru/A2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-1-B-B,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,B<br><img src=assets/images/ports/pru/B2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-1-C-B-LT,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,B<br><img src=assets/images/ports/pru/B2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-1-B-C,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-1-C-C-LT,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-1-B-D,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-1-C-D-LT,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-1-B-E,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-1-C-E-LT,NPT 1/2,"0,1-10,4 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-2-B-A,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,A<br><img src=assets/images/ports/pru/A2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-2-C-A-LT,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,A<br><img src=assets/images/ports/pru/A2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-2-B-B,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,B<br><img src=assets/images/ports/pru/B2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-2-C-B-LT,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,B<br><img src=assets/images/ports/pru/B2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-2-B-C,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-2-C-C-LT,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-2-B-D,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-2-C-D-LT,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-2-B-E,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-2-C-E-LT,NPT 1/2,"0,2-17,2 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-3-B-A,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,A<br><img src=assets/images/ports/pru/A2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-3-C-A-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,A<br><img src=assets/images/ports/pru/A2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-3-B-B,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,B<br><img src=assets/images/ports/pru/B2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-3-C-B-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,B<br><img src=assets/images/ports/pru/B2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-3-B-C,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-3-C-C-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,C<br><img src=assets/images/ports/pru/C2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-3-B-D,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-3-C-D-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,D<br><img src=assets/images/ports/pru/D2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
,PRU200-1-C-2-3-B-E,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -40°С (стандарт),PFA (Макс.входное давление 241 бар)
,PRU200-1-C-2-3-C-E-LT,NPT 1/2,"0,3-34,5 бар",Под ключ,1.0,Нерж.сталь SS316,E<br><img src=assets/images/ports/pru/E2.jpg>,от -60°C,Спец.Тефлон (Макс. входное давление 241 бар)
