code;value;count;currency
RCH-1-C-2-A-5-A-PT100-D-1-300mm-5;132.5;0;$
RCH-1-C-2-A-5-A-PT100-D-1-550mm-1;263.75;0;$
RCH-1-C-2-A-5-A-PT100-D-1-550mm-2;438.75;0;$
RCH-1-C-2-A-5-A-PT100-D-1-550mm-3;451.25;0;$
RCH-1-C-2-A-5-A-PT100-D-1-550mm-5;151.25;0;$
RCH-1-C-2-A-5-A-PT100-D-1-800mm-1;276.25;0;$
RCH-1-C-2-A-5-A-PT100-D-1-800mm-2;451.25;0;$
RCH-1-C-2-A-5-A-PT100-D-1-800mm-3;463.75;0;$
RCH-1-C-2-A-5-A-PT100-D-1-800mm-5;163.75;0;$
RCH-1-C-2-A-5-A-PT100-D-1-1050mm-1;288.75;0;$
RCH-1-C-2-A-5-A-PT100-D-1-1050mm-2;463.75;0;$
RCH-1-C-2-A-5-A-PT100-D-1-1050mm-3;476.25;0;$
RCH-1-C-2-A-5-A-PT100-D-1-1050mm-5;176.25;0;$
RCH-1-D-1-A-4-A-PT100-S-1-300mm-1;212.5;0;$
RCH-1-D-1-A-4-A-PT100-S-1-300mm-2;387.5;0;$
RCH-1-D-1-A-4-A-PT100-S-1-300mm-3;400;0;$
RCH-1-D-1-A-4-A-PT100-S-1-300mm-5;100;0;$
RCH-1-D-1-A-4-A-PT100-S-1-550mm-1;225;0;$
RCH-1-D-1-A-4-A-PT100-S-1-550mm-2;400;0;$
RCH-1-D-1-A-4-A-PT100-S-1-550mm-3;412.5;0;$
RCH-1-D-1-A-4-A-PT100-S-1-550mm-5;112.5;0;$
RCH-1-D-1-A-4-A-PT100-S-1-800mm-1;237.5;0;$
RCH-1-D-1-A-4-A-PT100-S-1-800mm-2;412.5;0;$
RCH-1-D-1-A-4-A-PT100-S-1-800mm-3;425;0;$
RCH-1-D-1-A-4-A-PT100-S-1-800mm-5;125;0;$
RCH-1-D-1-A-4-A-PT100-S-1-1050mm-1;250;0;$
RCH-1-D-1-A-4-A-PT100-S-1-1050mm-2;425;0;$
RCH-1-D-1-A-4-A-PT100-S-1-1050mm-3;437.5;0;$
RCH-1-D-1-A-4-A-PT100-S-1-1050mm-5;137.5;0;$
RCH-1-D-1-A-4-A-PT100-D-1-300mm-1;245;0;$
RCH-1-D-1-A-4-A-PT100-D-1-300mm-2;420;0;$
RCH-1-D-1-A-4-A-PT100-D-1-300mm-3;432.5;0;$
RCH-1-D-1-A-4-A-PT100-D-1-300mm-5;132.5;0;$
RCH-1-D-1-A-4-A-PT100-D-1-550mm-1;263.75;0;$
RCH-1-D-1-A-4-A-PT100-D-1-550mm-2;438.75;0;$
RCH-1-D-1-A-4-A-PT100-D-1-550mm-3;451.25;0;$
RCH-1-D-1-A-4-A-PT100-D-1-550mm-5;151.25;0;$
RCH-1-D-1-A-4-A-PT100-D-1-800mm-1;276.25;0;$
RCH-1-D-1-A-4-A-PT100-D-1-800mm-2;451.25;0;$
RCH-1-D-1-A-4-A-PT100-D-1-800mm-3;463.75;0;$
RCH-1-D-1-A-4-A-PT100-D-1-800mm-5;163.75;0;$
RCH-1-D-1-A-4-A-PT100-D-1-1050mm-1;288.75;0;$
RCH-1-D-1-A-4-A-PT100-D-1-1050mm-2;463.75;0;$
RCH-1-D-1-A-4-A-PT100-D-1-1050mm-3;476.25;0;$
RCH-1-D-1-A-4-A-PT100-D-1-1050mm-5;176.25;0;$
RCH-1-D-1-A-5-A-PT100-S-1-300mm-1;212.5;0;$
RCH-1-D-1-A-5-A-PT100-S-1-300mm-2;387.5;0;$
RCH-1-D-1-A-5-A-PT100-S-1-300mm-3;400;0;$
RCH-1-D-1-A-5-A-PT100-S-1-300mm-5;100;0;$
RCH-1-D-1-A-5-A-PT100-S-1-550mm-1;225;0;$
RCH-1-D-1-A-5-A-PT100-S-1-550mm-2;400;0;$
RCH-1-D-1-A-5-A-PT100-S-1-550mm-3;412.5;0;$
RCH-1-D-1-A-5-A-PT100-S-1-550mm-5;112.5;0;$
RCH-1-D-1-A-5-A-PT100-S-1-800mm-1;237.5;0;$
RCH-1-D-1-A-5-A-PT100-S-1-800mm-2;412.5;0;$
RCH-1-D-1-A-5-A-PT100-S-1-800mm-3;425;0;$
RCH-1-D-1-A-5-A-PT100-S-1-800mm-5;125;0;$
RCH-1-D-1-A-5-A-PT100-S-1-1050mm-1;250;0;$
RCH-1-D-1-A-5-A-PT100-S-1-1050mm-2;425;0;$
RCH-1-D-1-A-5-A-PT100-S-1-1050mm-3;437.5;0;$
RCH-1-D-1-A-5-A-PT100-S-1-1050mm-5;137.5;0;$
RCH-1-D-1-A-5-A-PT100-D-1-300mm-1;245;0;$
RCH-1-D-1-A-5-A-PT100-D-1-300mm-2;420;0;$
RCH-1-D-1-A-5-A-PT100-D-1-300mm-3;432.5;0;$
RCH-1-D-1-A-5-A-PT100-D-1-300mm-5;132.5;0;$
RCH-1-D-1-A-5-A-PT100-D-1-550mm-1;263.75;0;$
RCH-1-D-1-A-5-A-PT100-D-1-550mm-2;438.75;0;$
RCH-1-D-1-A-5-A-PT100-D-1-550mm-3;451.25;0;$
RCH-1-D-1-A-5-A-PT100-D-1-550mm-5;151.25;0;$
RCH-1-D-1-A-5-A-PT100-D-1-800mm-1;276.25;0;$
RCH-1-D-1-A-5-A-PT100-D-1-800mm-2;451.25;0;$
RCH-1-D-1-A-5-A-PT100-D-1-800mm-3;463.75;0;$
RCH-1-D-1-A-5-A-PT100-D-1-800mm-5;163.75;0;$
RCH-1-D-1-A-5-A-PT100-D-1-1050mm-1;288.75;0;$
RCH-1-D-1-A-5-A-PT100-D-1-1050mm-2;463.75;0;$
RCH-1-D-1-A-5-A-PT100-D-1-1050mm-3;476.25;0;$
RCH-1-D-1-A-5-A-PT100-D-1-1050mm-5;176.25;0;$
RCH-1-D-2-A-4-A-PT100-S-1-300mm-1;212.5;0;$
RCH-1-D-2-A-4-A-PT100-S-1-300mm-2;387.5;0;$
RCH-1-D-2-A-4-A-PT100-S-1-300mm-3;400;0;$
RCH-1-D-2-A-4-A-PT100-S-1-300mm-5;100;0;$
RCH-1-D-2-A-4-A-PT100-S-1-550mm-1;225;0;$
RCH-1-D-2-A-4-A-PT100-S-1-550mm-2;400;0;$
RCH-1-D-2-A-4-A-PT100-S-1-550mm-3;412.5;0;$
RCH-1-D-2-A-4-A-PT100-S-1-550mm-5;112.5;0;$
RCH-1-D-2-A-4-A-PT100-S-1-800mm-1;237.5;0;$
RCH-1-D-2-A-4-A-PT100-S-1-800mm-2;412.5;0;$
RCH-1-D-2-A-4-A-PT100-S-1-800mm-3;425;0;$
RCH-1-D-2-A-4-A-PT100-S-1-800mm-5;125;0;$
RCH-1-D-2-A-4-A-PT100-S-1-1050mm-1;250;0;$
RCH-1-D-2-A-4-A-PT100-S-1-1050mm-2;425;0;$
RCH-1-D-2-A-4-A-PT100-S-1-1050mm-3;437.5;0;$
RCH-1-D-2-A-4-A-PT100-S-1-1050mm-5;137.5;0;$
RCH-1-D-2-A-4-A-PT100-D-1-300mm-1;245;0;$
RCH-1-D-2-A-4-A-PT100-D-1-300mm-2;420;0;$
RCH-1-D-2-A-4-A-PT100-D-1-300mm-3;432.5;0;$
RCH-1-D-2-A-4-A-PT100-D-1-300mm-5;132.5;0;$
RCH-1-D-2-A-4-A-PT100-D-1-550mm-1;263.75;0;$
RCH-1-D-2-A-4-A-PT100-D-1-550mm-2;438.75;0;$
RCH-1-D-2-A-4-A-PT100-D-1-550mm-3;451.25;0;$
RCH-1-D-2-A-4-A-PT100-D-1-550mm-5;151.25;0;$
RCH-1-D-2-A-4-A-PT100-D-1-800mm-1;276.25;0;$
RCH-1-D-2-A-4-A-PT100-D-1-800mm-2;451.25;0;$
RCH-1-D-2-A-4-A-PT100-D-1-800mm-3;463.75;0;$
RCH-1-D-2-A-4-A-PT100-D-1-800mm-5;163.75;0;$
RCH-1-D-2-A-4-A-PT100-D-1-1050mm-1;288.75;0;$
RCH-1-D-2-A-4-A-PT100-D-1-1050mm-2;463.75;0;$
RCH-1-D-2-A-4-A-PT100-D-1-1050mm-3;476.25;0;$
RCH-1-D-2-A-4-A-PT100-D-1-1050mm-5;176.25;0;$
RCH-1-D-2-A-5-A-PT100-S-1-300mm-1;212.5;0;$
RCH-1-D-2-A-5-A-PT100-S-1-300mm-2;387.5;0;$
RCH-1-D-2-A-5-A-PT100-S-1-300mm-3;400;0;$
RCH-1-D-2-A-5-A-PT100-S-1-300mm-5;100;0;$
RCH-1-D-2-A-5-A-PT100-S-1-550mm-1;225;0;$
RCH-1-D-2-A-5-A-PT100-S-1-550mm-2;400;0;$
RCH-1-D-2-A-5-A-PT100-S-1-550mm-3;412.5;0;$
RCH-1-D-2-A-5-A-PT100-S-1-550mm-5;112.5;0;$
RCH-1-D-2-A-5-A-PT100-S-1-800mm-1;237.5;0;$
RCH-1-D-2-A-5-A-PT100-S-1-800mm-2;412.5;0;$
RCH-1-D-2-A-5-A-PT100-S-1-800mm-3;425;0;$
RCH-1-D-2-A-5-A-PT100-S-1-800mm-5;125;0;$
RCH-1-D-2-A-5-A-PT100-S-1-1050mm-1;250;0;$
RCH-1-D-2-A-5-A-PT100-S-1-1050mm-2;425;0;$
RCH-1-D-2-A-5-A-PT100-S-1-1050mm-3;437.5;0;$
RCH-1-D-2-A-5-A-PT100-S-1-1050mm-5;137.5;0;$
RCH-1-D-2-A-5-A-PT100-D-1-300mm-1;245;0;$
RCH-1-D-2-A-5-A-PT100-D-1-300mm-2;420;0;$
RCH-1-D-2-A-5-A-PT100-D-1-300mm-3;432.5;0;$
RCH-1-D-2-A-5-A-PT100-D-1-300mm-5;132.5;0;$
RCN-2-A-2-A-4-A-PT100-S-1-550mm-1;237.5;0;$
RCN-2-A-2-A-4-A-PT100-S-1-550mm-2;412.5;0;$
RCN-2-A-2-A-4-A-PT100-S-1-550mm-3;425;0;$
RCN-2-A-2-A-4-A-PT100-S-1-550mm-5;125;0;$
RCN-2-A-2-A-4-A-PT100-S-1-800mm-1;250;0;$
RCN-2-A-2-A-4-A-PT100-S-1-800mm-2;425;0;$
RCN-2-A-2-A-4-A-PT100-S-1-800mm-3;437.5;0;$
RCN-2-A-2-A-4-A-PT100-S-1-800mm-5;137.5;0;$
RCN-2-A-2-A-4-A-PT100-S-1-1050mm-1;262.5;0;$
RCN-2-A-2-A-4-A-PT100-S-1-1050mm-2;437.5;0;$
RCN-2-A-2-A-4-A-PT100-S-1-1050mm-3;450;0;$
RCN-2-A-2-A-4-A-PT100-S-1-1050mm-5;150;0;$
RCN-2-A-2-A-4-A-PT100-D-1-300mm-1;257.5;0;$
RCN-2-A-2-A-4-A-PT100-D-1-300mm-2;432.5;0;$
RCN-2-A-2-A-4-A-PT100-D-1-300mm-3;445;0;$
RCN-2-A-2-A-4-A-PT100-D-1-300mm-5;145;0;$
RCN-2-A-2-A-4-A-PT100-D-1-550mm-1;276.25;0;$
RCN-2-A-2-A-4-A-PT100-D-1-550mm-2;451.25;0;$
RCN-2-A-2-A-4-A-PT100-D-1-550mm-3;463.75;0;$
RCN-2-A-2-A-4-A-PT100-D-1-550mm-5;163.75;0;$
RCN-2-A-2-A-4-A-PT100-D-1-800mm-1;288.75;0;$
RCN-2-A-2-A-4-A-PT100-D-1-800mm-2;463.75;0;$
RCN-2-A-2-A-4-A-PT100-D-1-800mm-3;476.25;0;$
RCN-2-A-2-A-4-A-PT100-D-1-800mm-5;176.25;0;$
RCN-2-A-2-A-4-A-PT100-D-1-1050mm-1;301.25;0;$
RCN-2-A-2-A-4-A-PT100-D-1-1050mm-2;476.25;0;$
RCN-2-A-2-A-4-A-PT100-D-1-1050mm-3;488.75;0;$
RCN-2-A-2-A-4-A-PT100-D-1-1050mm-5;188.75;0;$
RCN-2-A-2-A-5-A-PT100-S-1-300mm-1;225;0;$
RCN-2-A-2-A-5-A-PT100-S-1-300mm-2;400;0;$
RCN-2-A-2-A-5-A-PT100-S-1-300mm-3;412.5;0;$
RCN-2-A-2-A-5-A-PT100-S-1-300mm-5;112.5;0;$
RCN-2-A-2-A-5-A-PT100-S-1-550mm-1;237.5;0;$
RCN-2-A-2-A-5-A-PT100-S-1-550mm-2;412.5;0;$
RCN-2-A-2-A-5-A-PT100-S-1-550mm-3;425;0;$
RCN-2-A-2-A-5-A-PT100-S-1-550mm-5;125;0;$
RCN-2-A-2-A-5-A-PT100-S-1-800mm-1;250;0;$
RCN-2-A-2-A-5-A-PT100-S-1-800mm-2;425;0;$
RCN-2-A-2-A-5-A-PT100-S-1-800mm-3;437.5;0;$
RCN-2-A-2-A-5-A-PT100-S-1-800mm-5;137.5;0;$
RCN-2-A-2-A-5-A-PT100-S-1-1050mm-1;262.5;0;$
RCN-2-A-2-A-5-A-PT100-S-1-1050mm-2;437.5;0;$
RCN-2-A-2-A-5-A-PT100-S-1-1050mm-3;450;0;$
RCN-2-A-2-A-5-A-PT100-S-1-1050mm-5;150;0;$
RCN-2-A-2-A-5-A-PT100-D-1-300mm-1;257.5;0;$
RCN-2-A-2-A-5-A-PT100-D-1-300mm-2;432.5;0;$
RCN-2-A-2-A-5-A-PT100-D-1-300mm-3;445;0;$
RCN-2-A-2-A-5-A-PT100-D-1-300mm-5;145;0;$
RCN-2-A-2-A-5-A-PT100-D-1-550mm-1;276.25;0;$
RCN-2-A-2-A-5-A-PT100-D-1-550mm-2;451.25;0;$
RCN-2-A-2-A-5-A-PT100-D-1-550mm-3;463.75;0;$
RCN-2-A-2-A-5-A-PT100-D-1-550mm-5;163.75;0;$
RCN-2-A-2-A-5-A-PT100-D-1-800mm-1;288.75;0;$
RCN-2-A-2-A-5-A-PT100-D-1-800mm-2;463.75;0;$
RCN-2-A-2-A-5-A-PT100-D-1-800mm-3;476.25;0;$
RCN-2-A-2-A-5-A-PT100-D-1-800mm-5;176.25;0;$
RCN-2-A-2-A-5-A-PT100-D-1-1050mm-1;301.25;0;$
RCN-2-A-2-A-5-A-PT100-D-1-1050mm-2;476.25;0;$
RCN-2-A-2-A-5-A-PT100-D-1-1050mm-3;488.75;0;$
RCN-2-A-2-A-5-A-PT100-D-1-1050mm-5;188.75;0;$
RCN-2-B-1-A-4-A-PT100-S-1-300mm-1;225;0;$
RCN-2-B-1-A-4-A-PT100-S-1-300mm-2;400;0;$
RCN-2-B-1-A-4-A-PT100-S-1-300mm-3;412.5;0;$
RCN-2-B-1-A-4-A-PT100-S-1-300mm-5;112.5;0;$
RCN-2-B-1-A-4-A-PT100-S-1-550mm-1;237.5;0;$
RCN-2-B-1-A-4-A-PT100-S-1-550mm-2;412.5;0;$
RCN-2-B-1-A-4-A-PT100-S-1-550mm-3;425;0;$
RCN-2-B-1-A-4-A-PT100-S-1-550mm-5;125;0;$
RCN-2-B-1-A-4-A-PT100-S-1-800mm-1;250;0;$
RCN-2-B-1-A-4-A-PT100-S-1-800mm-2;425;0;$
RCN-2-B-1-A-4-A-PT100-S-1-800mm-3;437.5;0;$
RCN-2-B-1-A-4-A-PT100-S-1-800mm-5;137.5;0;$
RCN-2-B-1-A-4-A-PT100-S-1-1050mm-1;262.5;0;$
RCN-2-B-1-A-4-A-PT100-S-1-1050mm-2;437.5;0;$
RCN-2-B-1-A-4-A-PT100-S-1-1050mm-3;450;0;$
RCN-2-B-1-A-4-A-PT100-S-1-1050mm-5;150;0;$
RCN-2-B-1-A-4-A-PT100-D-1-300mm-1;257.5;0;$
RCN-2-B-1-A-4-A-PT100-D-1-300mm-2;432.5;0;$
RCN-2-B-1-A-4-A-PT100-D-1-300mm-3;445;0;$
RCN-2-B-1-A-4-A-PT100-D-1-300mm-5;145;0;$
RCN-2-B-1-A-4-A-PT100-D-1-550mm-1;276.25;0;$
RCN-2-B-1-A-4-A-PT100-D-1-550mm-2;451.25;0;$
RCN-2-B-1-A-4-A-PT100-D-1-550mm-3;463.75;0;$
RCN-2-B-1-A-4-A-PT100-D-1-550mm-5;163.75;0;$
RCN-2-B-1-A-4-A-PT100-D-1-800mm-1;288.75;0;$
RCN-2-B-1-A-4-A-PT100-D-1-800mm-2;463.75;0;$
RCN-2-B-1-A-4-A-PT100-D-1-800mm-3;476.25;0;$
RCN-2-B-1-A-4-A-PT100-D-1-800mm-5;176.25;0;$
RCN-2-B-1-A-4-A-PT100-D-1-1050mm-1;301.25;0;$
RCN-2-B-1-A-4-A-PT100-D-1-1050mm-2;476.25;0;$
RCN-2-B-1-A-4-A-PT100-D-1-1050mm-3;488.75;0;$
RCN-2-B-1-A-4-A-PT100-D-1-1050mm-5;188.75;0;$
RCN-2-B-1-A-5-A-PT100-S-1-300mm-1;225;0;$
RCN-2-B-1-A-5-A-PT100-S-1-300mm-2;400;0;$
RCN-2-B-1-A-5-A-PT100-S-1-300mm-3;412.5;0;$
RCN-2-B-1-A-5-A-PT100-S-1-300mm-5;112.5;0;$
RCN-2-B-1-A-5-A-PT100-S-1-550mm-1;237.5;0;$
RCN-2-B-1-A-5-A-PT100-S-1-550mm-2;412.5;0;$
RCN-2-B-1-A-5-A-PT100-S-1-550mm-3;425;0;$
RCN-2-B-1-A-5-A-PT100-S-1-550mm-5;125;0;$
RCN-2-B-1-A-5-A-PT100-S-1-800mm-1;250;0;$
RCN-2-B-1-A-5-A-PT100-S-1-800mm-2;425;0;$
RCN-2-B-1-A-5-A-PT100-S-1-800mm-3;437.5;0;$
RCN-2-B-1-A-5-A-PT100-S-1-800mm-5;137.5;0;$
RCN-2-B-1-A-5-A-PT100-S-1-1050mm-1;262.5;0;$
RCN-2-B-1-A-5-A-PT100-S-1-1050mm-2;437.5;0;$
RCN-2-B-1-A-5-A-PT100-S-1-1050mm-3;450;0;$
RCN-2-B-1-A-5-A-PT100-S-1-1050mm-5;150;0;$
RCN-2-B-1-A-5-A-PT100-D-1-300mm-1;257.5;0;$
RCN-2-B-1-A-5-A-PT100-D-1-300mm-2;432.5;0;$
RCN-2-B-1-A-5-A-PT100-D-1-300mm-3;445;0;$
RCN-2-B-1-A-5-A-PT100-D-1-300mm-5;145;0;$
RCN-2-B-1-A-5-A-PT100-D-1-550mm-1;276.25;0;$
RCN-2-B-1-A-5-A-PT100-D-1-550mm-2;451.25;0;$
RCN-2-B-1-A-5-A-PT100-D-1-550mm-3;463.75;0;$
RCN-2-B-1-A-5-A-PT100-D-1-550mm-5;163.75;0;$
RCN-2-B-1-A-5-A-PT100-D-1-800mm-1;288.75;0;$
RCN-2-B-1-A-5-A-PT100-D-1-800mm-2;463.75;0;$
RCN-2-B-1-A-5-A-PT100-D-1-800mm-3;476.25;0;$
RCN-2-B-1-A-5-A-PT100-D-1-800mm-5;176.25;0;$
RCN-2-B-1-A-5-A-PT100-D-1-1050mm-1;301.25;0;$
RCN-2-B-1-A-5-A-PT100-D-1-1050mm-2;476.25;0;$
RCN-2-B-1-A-5-A-PT100-D-1-1050mm-3;488.75;0;$
RCN-2-B-1-A-5-A-PT100-D-1-1050mm-5;188.75;0;$
RCN-2-B-2-A-4-A-PT100-S-1-300mm-1;225;0;$
RCN-2-B-2-A-4-A-PT100-S-1-300mm-2;400;0;$
RCN-2-B-2-A-4-A-PT100-S-1-300mm-3;412.5;0;$
RCN-2-B-2-A-4-A-PT100-S-1-300mm-5;112.5;0;$
RCN-2-B-2-A-4-A-PT100-S-1-550mm-1;237.5;0;$
RCN-2-B-2-A-4-A-PT100-S-1-550mm-2;412.5;0;$
RCN-2-B-2-A-4-A-PT100-S-1-550mm-3;425;0;$
RCN-2-B-2-A-4-A-PT100-S-1-550mm-5;125;0;$
RCN-2-B-2-A-4-A-PT100-S-1-800mm-1;250;0;$
RCN-2-B-2-A-4-A-PT100-S-1-800mm-2;425;0;$
RCN-2-B-2-A-4-A-PT100-S-1-800mm-3;437.5;0;$
RCN-2-B-2-A-4-A-PT100-S-1-800mm-5;137.5;0;$
RCN-2-B-2-A-4-A-PT100-S-1-1050mm-1;262.5;0;$
RCN-2-B-2-A-4-A-PT100-S-1-1050mm-2;437.5;0;$
RCN-2-B-2-A-4-A-PT100-S-1-1050mm-3;450;0;$
RCN-2-B-2-A-4-A-PT100-S-1-1050mm-5;150;0;$
RCN-2-B-2-A-4-A-PT100-D-1-300mm-1;257.5;0;$
RCN-2-B-2-A-4-A-PT100-D-1-300mm-2;432.5;0;$
RCN-2-B-2-A-4-A-PT100-D-1-300mm-3;445;0;$
RCN-2-B-2-A-4-A-PT100-D-1-300mm-5;145;0;$
RCN-2-B-2-A-4-A-PT100-D-1-550mm-1;276.25;0;$
RCN-2-B-2-A-4-A-PT100-D-1-550mm-2;451.25;0;$
RCN-2-B-2-A-4-A-PT100-D-1-550mm-3;463.75;0;$
RCN-2-B-2-A-4-A-PT100-D-1-550mm-5;163.75;0;$
RCN-2-B-2-A-4-A-PT100-D-1-800mm-1;288.75;0;$
RCN-2-B-2-A-4-A-PT100-D-1-800mm-2;463.75;0;$
RCN-2-B-2-A-4-A-PT100-D-1-800mm-3;476.25;0;$
RCN-2-B-2-A-4-A-PT100-D-1-800mm-5;176.25;0;$
RCN-2-B-2-A-4-A-PT100-D-1-1050mm-1;301.25;0;$
RCN-2-B-2-A-4-A-PT100-D-1-1050mm-2;476.25;0;$
RCN-2-B-2-A-4-A-PT100-D-1-1050mm-3;488.75;0;$
RCN-2-B-2-A-4-A-PT100-D-1-1050mm-5;188.75;0;$
RCN-2-B-2-A-5-A-PT100-S-1-300mm-1;225;0;$
RCN-2-B-2-A-5-A-PT100-S-1-300mm-2;400;0;$
RCN-2-B-2-A-5-A-PT100-S-1-300mm-3;412.5;0;$
RCN-2-B-2-A-5-A-PT100-S-1-300mm-5;112.5;0;$
RCN-2-B-2-A-5-A-PT100-S-1-550mm-1;237.5;0;$
RCN-2-B-2-A-5-A-PT100-S-1-550mm-2;412.5;0;$
RCN-2-B-2-A-5-A-PT100-S-1-550mm-3;425;0;$
RCN-2-B-2-A-5-A-PT100-S-1-550mm-5;125;0;$
RCN-2-B-2-A-5-A-PT100-S-1-800mm-1;250;0;$
RCN-2-B-2-A-5-A-PT100-S-1-800mm-2;425;0;$
RCN-2-B-2-A-5-A-PT100-S-1-800mm-3;437.5;0;$
RCN-2-B-2-A-5-A-PT100-S-1-800mm-5;137.5;0;$
RCN-2-B-2-A-5-A-PT100-S-1-1050mm-1;262.5;0;$
RCN-2-B-2-A-5-A-PT100-S-1-1050mm-2;437.5;0;$
RCN-2-B-2-A-5-A-PT100-S-1-1050mm-3;450;0;$
RCN-2-B-2-A-5-A-PT100-S-1-1050mm-5;150;0;$
RCN-2-B-2-A-5-A-PT100-D-1-300mm-1;257.5;0;$
RCN-2-B-2-A-5-A-PT100-D-1-300mm-2;432.5;0;$
RCN-2-B-2-A-5-A-PT100-D-1-300mm-3;445;0;$
RCN-2-B-2-A-5-A-PT100-D-1-300mm-5;145;0;$
RCN-2-B-2-A-5-A-PT100-D-1-550mm-1;276.25;0;$
RCN-2-B-2-A-5-A-PT100-D-1-550mm-2;451.25;0;$
RCN-2-B-2-A-5-A-PT100-D-1-550mm-3;463.75;0;$
RCN-2-B-2-A-5-A-PT100-D-1-550mm-5;163.75;0;$
RCN-2-B-2-A-5-A-PT100-D-1-800mm-1;288.75;0;$
RCN-2-B-2-A-5-A-PT100-D-1-800mm-2;463.75;0;$
RCN-2-B-2-A-5-A-PT100-D-1-800mm-3;476.25;0;$
RCN-2-B-2-A-5-A-PT100-D-1-800mm-5;176.25;0;$
RCN-2-B-2-A-5-A-PT100-D-1-1050mm-1;301.25;0;$
RCN-2-B-2-A-5-A-PT100-D-1-1050mm-2;476.25;0;$
RCN-2-B-2-A-5-A-PT100-D-1-1050mm-3;488.75;0;$
RCN-2-B-2-A-5-A-PT100-D-1-1050mm-5;188.75;0;$
RCN-2-D-1-A-4-A-PT100-S-1-300mm-1;225;0;$
RCN-2-D-1-A-4-A-PT100-S-1-300mm-2;400;0;$
RCN-2-D-1-A-4-A-PT100-S-1-300mm-3;412.5;0;$
RCN-2-D-1-A-4-A-PT100-S-1-300mm-5;112.5;0;$
RCN-2-D-1-A-4-A-PT100-S-1-550mm-1;237.5;0;$
RCN-2-D-1-A-4-A-PT100-S-1-550mm-2;412.5;0;$
RCN-2-D-1-A-4-A-PT100-S-1-550mm-3;425;0;$
RCN-2-D-1-A-4-A-PT100-S-1-550mm-5;125;0;$
RCN-2-D-1-A-4-A-PT100-S-1-800mm-1;250;0;$
RCN-2-D-1-A-4-A-PT100-S-1-800mm-2;425;0;$
RCN-2-D-1-A-4-A-PT100-S-1-800mm-3;437.5;0;$
RCN-2-D-1-A-4-A-PT100-S-1-800mm-5;137.5;0;$
RCN-2-D-1-A-4-A-PT100-S-1-1050mm-1;262.5;0;$
RCN-2-D-1-A-4-A-PT100-S-1-1050mm-2;437.5;0;$
RCN-2-D-1-A-4-A-PT100-S-1-1050mm-3;450;0;$
RCN-2-D-1-A-4-A-PT100-S-1-1050mm-5;150;0;$
RCN-2-D-1-A-4-A-PT100-D-1-300mm-1;257.5;0;$
RCN-2-D-1-A-4-A-PT100-D-1-300mm-2;432.5;0;$
RCN-2-D-1-A-4-A-PT100-D-1-300mm-3;445;0;$
RCN-2-D-1-A-4-A-PT100-D-1-300mm-5;145;0;$
RCN-2-D-1-A-4-A-PT100-D-1-550mm-1;276.25;0;$
RCN-2-D-1-A-4-A-PT100-D-1-550mm-2;451.25;0;$
RCN-2-D-1-A-4-A-PT100-D-1-550mm-3;463.75;0;$
RCN-2-D-1-A-4-A-PT100-D-1-550mm-5;163.75;0;$
RCN-2-D-1-A-4-A-PT100-D-1-800mm-1;288.75;0;$
RCN-2-D-1-A-4-A-PT100-D-1-800mm-2;463.75;0;$
RCN-2-D-1-A-4-A-PT100-D-1-800mm-3;476.25;0;$
RCN-2-D-1-A-4-A-PT100-D-1-800mm-5;176.25;0;$
RCN-2-D-1-A-4-A-PT100-D-1-1050mm-1;301.25;0;$
RCN-2-D-1-A-4-A-PT100-D-1-1050mm-2;476.25;0;$
RCN-2-D-1-A-4-A-PT100-D-1-1050mm-3;488.75;0;$
RCN-2-D-1-A-4-A-PT100-D-1-1050mm-5;188.75;0;$
RCN-2-D-1-A-5-A-PT100-S-1-300mm-1;225;0;$
RCN-2-D-1-A-5-A-PT100-S-1-300mm-2;400;0;$
RCN-2-D-1-A-5-A-PT100-S-1-300mm-3;412.5;0;$
RCN-2-D-1-A-5-A-PT100-S-1-300mm-5;112.5;0;$
RCN-2-D-1-A-5-A-PT100-S-1-550mm-1;237.5;0;$
RCN-2-D-1-A-5-A-PT100-S-1-550mm-2;412.5;0;$
RCN-2-D-1-A-5-A-PT100-S-1-550mm-3;425;0;$
RCN-2-D-1-A-5-A-PT100-S-1-550mm-5;125;0;$
RCN-2-D-1-A-5-A-PT100-S-1-800mm-1;250;0;$
RCN-2-D-1-A-5-A-PT100-S-1-800mm-2;425;0;$
RCN-2-D-1-A-5-A-PT100-S-1-800mm-3;437.5;0;$
RCN-2-D-1-A-5-A-PT100-S-1-800mm-5;137.5;0;$
RCN-2-D-1-A-5-A-PT100-S-1-1050mm-1;262.5;0;$
RCN-2-D-1-A-5-A-PT100-S-1-1050mm-2;437.5;0;$
RCN-2-D-1-A-5-A-PT100-S-1-1050mm-3;450;0;$
RCN-2-D-1-A-5-A-PT100-S-1-1050mm-5;150;0;$
RCN-2-D-1-A-5-A-PT100-D-1-300mm-1;257.5;0;$
RCN-2-D-1-A-5-A-PT100-D-1-300mm-2;432.5;0;$
RCN-2-D-1-A-5-A-PT100-D-1-300mm-3;445;0;$
RCN-2-D-1-A-5-A-PT100-D-1-300mm-5;145;0;$
RCN-2-D-1-A-5-A-PT100-D-1-550mm-1;276.25;0;$
RCN-2-D-1-A-5-A-PT100-D-1-550mm-2;451.25;0;$
