pagetitle,15;16;17;82;86;87;93;95;6;19
"DR115-SL-004M-N2";"";"NPT 3/4";"42 бар";"Нерж.сталь";"рукоятка";"4 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-004M-N3";"";"NPT 1";"42 бар";"Нерж.сталь";"рукоятка";"4 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-007M-N1";"";"NPT 1/2";"42 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-007M-N2";"";"NPT 3/4";"42 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-007M-N3";"";"NPT 1";"42 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-010M-N1";"";"NPT 1/2";"42 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-010M-N2";"";"NPT 3/4";"42 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-010M-N3";"";"NPT 1";"42 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-020M-N1";"";"NPT 1/2";"42 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-020M-N2";"";"NPT 3/4";"42 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SL-020M-N3";"";"NPT 1";"42 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-002M-N1";"";"NPT 1/2";"150 бар";"Нерж.сталь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-002M-N2";"";"NPT 3/4";"150 бар";"Нерж.сталь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-002M-N3";"";"NPT 1";"150 бар";"Нерж.сталь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-004M-N1";"";"NPT 1/2";"150 бар";"Нерж.сталь";"рукоятка";"4 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-004M-N2";"";"NPT 3/4";"150 бар";"Нерж.сталь";"рукоятка";"4 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-004M-N3";"";"NPT 1";"150 бар";"Нерж.сталь";"рукоятка";"4 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-007M-N1";"";"NPT 1/2";"150 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-007M-N2";"";"NPT 3/4";"150 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-007M-N3";"";"NPT 1";"150 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-010M-N1";"";"NPT 1/2";"150 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-010M-N2";"";"NPT 3/4";"150 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-010M-N3";"";"NPT 1";"150 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-020M-N1";"";"NPT 1/2";"150 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-020M-N2";"";"NPT 3/4";"150 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SS-020M-N3";"";"NPT 1";"150 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-002M-N1";"";"NPT 1/2";"250 бар";"Нерж.сталь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-002M-N2";"";"NPT 3/4";"250 бар";"Нерж.сталь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-002M-N3";"";"NPT 1";"250 бар";"Нерж.сталь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-004M-N1";"";"NPT 1/2";"250 бар";"Нерж.сталь";"рукоятка";"4 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-004M-N2";"";"NPT 3/4";"250 бар";"Нерж.сталь";"рукоятка";"4 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-004M-N3";"";"NPT 1";"250 бар";"Нерж.сталь";"рукоятка";"4 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-007M-N1";"";"NPT 1/2";"250 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-007M-N2";"";"NPT 3/4";"250 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-007M-N3";"";"NPT 1";"250 бар";"Нерж.сталь";"рукоятка";"7 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-010M-N1";"";"NPT 1/2";"250 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-010M-N2";"";"NPT 3/4";"250 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-010M-N3";"";"NPT 1";"250 бар";"Нерж.сталь";"рукоятка";"10 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-020M-N1";"";"NPT 1/2";"250 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-020M-N2";"";"NPT 3/4";"250 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-SH-020M-N3";"";"NPT 1";"250 бар";"Нерж.сталь";"рукоятка";"20 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"M=4 порта<br><img src=assets/images/port/flow/port-M.jpg width=100>";"assets/images/ports/M.png";;
"DR115-BL-002C-N1";"";"NPT 1/2";"42 бар";"Латунь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>";"assets/images/2Man100x100.jpg";;
"DR115-BL-002C-N2";"";"NPT 3/4";"42 бар";"Латунь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>";"assets/images/2Man100x100.jpg";;
"DR115-BL-002C-N3";"";"NPT 1";"42 бар";"Латунь";"рукоятка";"2 бар";"Серия DR115 (рукоятка)<br><img src=assets/images/port/flow/rukoyatka.png width=100>";"C=4 порта<br><img src=assets/images/port/flow/port-C.jpg width=100>";"assets/images/2Man100x100.jpg";;
