"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G40-C-20M-150A-2.5kPa-VE","от 0 до 2.5кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-4kPa-VE","от 0 до 4кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-6kPa-VE","от 0 до 6кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-10kPa-VE","от 0 до 10кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-16kPa-VE","от 0 до 16кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-25kPa-VE","от 0 до 25кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-40kPa-VE","от 0 до 40кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-60kPa-VE","от 0 до 60кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-100kPa-VE","от 0 до 100кПа","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63B-1.6kPa-VE","от 0 до 1.6кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-2.5kPa-VE","от 0 до 2.5кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-4kPa-VE","от 0 до 4кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-6kPa-VE","от 0 до 6кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-10kPa-VE","от 0 до 10кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-16kPa-VE","от 0 до 16кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-25kPa-VE","от 0 до 25кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-40kPa-VE","от 0 до 40кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-60kPa-VE","от 0 до 60кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-100kPa-VE","от 0 до 100кПа","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-1.6kPa-VE","от 0 до 1.6кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-2.5kPa-VE","от 0 до 2.5кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-4kPa-VE","от 0 до 4кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-6kPa-VE","от 0 до 6кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-10kPa-VE","от 0 до 10кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-16kPa-VE","от 0 до 16кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-25kPa-VE","от 0 до 25кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-40kPa-VE","от 0 до 40кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-60kPa-VE","от 0 до 60кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-100kPa-VE","от 0 до 100кПа","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-1.6kPa-VE","от 0 до 1.6кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-2.5kPa-VE","от 0 до 2.5кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-4kPa-VE","от 0 до 4кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-6kPa-VE","от 0 до 6кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-10kPa-VE","от 0 до 10кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-16kPa-VE","от 0 до 16кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-25kPa-VE","от 0 до 25кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-40kPa-VE","от 0 до 40кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-60kPa-VE","от 0 до 60кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-150B-100kPa-VE","от 0 до 100кПа","M20x1.5","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63A-V600mbar-VE","от -600 до 0мбар","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-V400mbar-VE","от -400 до 0мбар","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-V250mbar-VE","от -250 до 0мбар","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-V160mbar-VE","от -160 до 0мбар","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-V100mbar-VE","от -100 до 0мбар","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-V60mbar-VE","от -60 до 0мбар","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-V25mbar-VE","от -25 до 0мбар","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-V16mbar-VE","от -16 до 0мбар","G 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-V600mbar-VE","от -600 до 0мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-V400mbar-VE","от -400 до 0мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-V250mbar-VE","от -250 до 0мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-V160mbar-VE","от -160 до 0мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-V100mbar-VE","от -100 до 0мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-V60mbar-VE","от -60 до 0мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-V25mbar-VE","от -25 до 0мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-V16mbar-VE","от -16 до 0мбар","G 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-V600mbar-VE","от -600 до 0мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-V400mbar-VE","от -400 до 0мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-V250mbar-VE","от -250 до 0мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-V160mbar-VE","от -160 до 0мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-V100mbar-VE","от -100 до 0мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-V60mbar-VE","от -60 до 0мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-V25mbar-VE","от -25 до 0мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-150A-V16mbar-VE","от -16 до 0мбар","G 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63B-V600mbar-VE","от -600 до 0мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-V400mbar-VE","от -400 до 0мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-V250mbar-VE","от -250 до 0мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-V160mbar-VE","от -160 до 0мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-V100mbar-VE","от -100 до 0мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-V60mbar-VE","от -60 до 0мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-V25mbar-VE","от -25 до 0мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-63B-V16mbar-VE","от -16 до 0мбар","G 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-V600mbar-VE","от -600 до 0мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-V400mbar-VE","от -400 до 0мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-V250mbar-VE","от -250 до 0мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-V160mbar-VE","от -160 до 0мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-V100mbar-VE","от -100 до 0мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-V60mbar-VE","от -60 до 0мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-V25mbar-VE","от -25 до 0мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-100B-V16mbar-VE","от -16 до 0мбар","G 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-V600mbar-VE","от -600 до 0мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-V400mbar-VE","от -400 до 0мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-V250mbar-VE","от -250 до 0мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-V160mbar-VE","от -160 до 0мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-V100mbar-VE","от -100 до 0мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-V60mbar-VE","от -60 до 0мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-V25mbar-VE","от -25 до 0мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8G-150B-V16mbar-VE","от -16 до 0мбар","G 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63A-V600mbar-VE","от -600 до 0мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-V400mbar-VE","от -400 до 0мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-V250mbar-VE","от -250 до 0мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-V160mbar-VE","от -160 до 0мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-V100mbar-VE","от -100 до 0мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-V60mbar-VE","от -60 до 0мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-V25mbar-VE","от -25 до 0мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63A-V16mbar-VE","от -16 до 0мбар","NPT 1/2","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-V600mbar-VE","от -600 до 0мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-V400mbar-VE","от -400 до 0мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-V250mbar-VE","от -250 до 0мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-V160mbar-VE","от -160 до 0мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-V100mbar-VE","от -100 до 0мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-V60mbar-VE","от -60 до 0мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-V25mbar-VE","от -25 до 0мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-100A-V16mbar-VE","от -16 до 0мбар","NPT 1/2","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-V600mbar-VE","от -600 до 0мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-V400mbar-VE","от -400 до 0мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-V250mbar-VE","от -250 до 0мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-V160mbar-VE","от -160 до 0мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-V100mbar-VE","от -100 до 0мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-V60mbar-VE","от -60 до 0мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-V25mbar-VE","от -25 до 0мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-150A-V16mbar-VE","от -16 до 0мбар","NPT 1/2","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8N-63B-V600mbar-VE","от -600 до 0мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-V400mbar-VE","от -400 до 0мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-V250mbar-VE","от -250 до 0мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-V160mbar-VE","от -160 до 0мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-V100mbar-VE","от -100 до 0мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-V60mbar-VE","от -60 до 0мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-V25mbar-VE","от -25 до 0мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-63B-V16mbar-VE","от -16 до 0мбар","NPT 1/2","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-V600mbar-VE","от -600 до 0мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-V400mbar-VE","от -400 до 0мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-V250mbar-VE","от -250 до 0мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-V160mbar-VE","от -160 до 0мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-V100mbar-VE","от -100 до 0мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-V60mbar-VE","от -60 до 0мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-V25mbar-VE","от -25 до 0мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-100B-V16mbar-VE","от -16 до 0мбар","NPT 1/2","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-V600mbar-VE","от -600 до 0мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-V400mbar-VE","от -400 до 0мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-V250mbar-VE","от -250 до 0мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-V160mbar-VE","от -160 до 0мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-V100mbar-VE","от -100 до 0мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-V60mbar-VE","от -60 до 0мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-V25mbar-VE","от -25 до 0мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-8N-150B-V16mbar-VE","от -16 до 0мбар","NPT 1/2","150мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63A-V600mbar-VE","от -600 до 0мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-V400mbar-VE","от -400 до 0мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-V250mbar-VE","от -250 до 0мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-V160mbar-VE","от -160 до 0мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-V100mbar-VE","от -100 до 0мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-V60mbar-VE","от -60 до 0мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-V25mbar-VE","от -25 до 0мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63A-V16mbar-VE","от -16 до 0мбар","M20x1.5","63мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-V600mbar-VE","от -600 до 0мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-V400mbar-VE","от -400 до 0мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-V250mbar-VE","от -250 до 0мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-V160mbar-VE","от -160 до 0мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-V100mbar-VE","от -100 до 0мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-V60mbar-VE","от -60 до 0мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-V25mbar-VE","от -25 до 0мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-100A-V16mbar-VE","от -16 до 0мбар","M20x1.5","100мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-V600mbar-VE","от -600 до 0мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-V400mbar-VE","от -400 до 0мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-V250mbar-VE","от -250 до 0мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-V160mbar-VE","от -160 до 0мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-V100mbar-VE","от -100 до 0мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-V60mbar-VE","от -60 до 0мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-V25mbar-VE","от -25 до 0мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-150A-V16mbar-VE","от -16 до 0мбар","M20x1.5","150мм","да","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-20M-63B-V600mbar-VE","от -600 до 0мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-V400mbar-VE","от -400 до 0мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-V250mbar-VE","от -250 до 0мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-V160mbar-VE","от -160 до 0мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-V100mbar-VE","от -100 до 0мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-V60mbar-VE","от -60 до 0мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-V25mbar-VE","от -25 до 0мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-63B-V16mbar-VE","от -16 до 0мбар","M20x1.5","63мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-V600mbar-VE","от -600 до 0мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-V400mbar-VE","от -400 до 0мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-V250mbar-VE","от -250 до 0мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-V160mbar-VE","от -160 до 0мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-V100mbar-VE","от -100 до 0мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-V60mbar-VE","от -60 до 0мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-V25mbar-VE","от -25 до 0мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
,"G40-C-20M-100B-V16mbar-VE","от -16 до 0мбар","M20x1.5","100мм","да","B-подсоединение сзади по центру<br><img src=assets/inventory/g40-B.png>"
