#,Заказной код,Параметр:Заказной код:Подсоединение,"Параметр:Заказной код:Длина, мм",Параметр:Заказной код:Количество поплавков,"Параметр:Заказной код:Материалы, контактирующие со средой",Параметр:Заказной код:Форма контакта,Параметр:Заказной код:Размер поплавка таблица,Параметр:Заказной код:Размер поплавка
,"LS-202P-2-3-8-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-2-3-8-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-2-3-8-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-2-3-8-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-2-3-11-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-2-3-11-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-2-3-11-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-2-3-11-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,SS316,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-1-1-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-1-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-1-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-1-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-3-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-3-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-3-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-3-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-4-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-4-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-4-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-4-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-6-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-6-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-6-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-6-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-7-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-7-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-7-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-7-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-9-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-9-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-9-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-9-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-10-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-10-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-10-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-1-10-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-3-2-2-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-2-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-2-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-2-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-5-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-5-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-5-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-5-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-8-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-8-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-8-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-8-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-11-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-11-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-11-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-2-11-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-3-3-2-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-2-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-2-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-2-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-5-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-5-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-5-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-5-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-8-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-8-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-8-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-8-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-11-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-11-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-11-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-3-3-11-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВХ,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-1-1-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-1-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-1-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-1-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-3-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-3-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-3-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-3-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-4-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-4-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-4-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-4-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-6-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-6-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-6-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-6-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-7-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-7-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-7-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-7-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-9-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-9-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-9-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-9-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-10-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-10-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-10-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-1-10-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPST (230V AC/DC),два F - (ПП)
,"LS-202P-4-2-2-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-2-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-2-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-2-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-5-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-5-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-5-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-5-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-8-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-8-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-8-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-8-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-11-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-11-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-11-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-2-11-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPDT (250V AC/DC),два F - (ПП)
,"LS-202P-4-3-2-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-2-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-2-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-2-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-5-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-5-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-5-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-5-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-8-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-8-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-8-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-8-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-11-F-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-11-F-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-11-F-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-202P-4-3-11-F-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,Полипропилен,50x75 (Полипропилен),SPDT (150V AC/DC),два F - (ПП)
,"LS-203P-5-1-1-G-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-1-G-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-1-G-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-1-G-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-3-G-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-3-G-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-3-G-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-3-G-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-4-G-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-4-G-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-4-G-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-4-G-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-6-G-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-6-G-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-6-G-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-6-G-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-7-G-L=1000mm-l1=____mm __ON, l2=____mm __ON",G3/8,1000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-7-G-L=2000mm-l1=____mm __ON, l2=____mm __ON",G3/8,2000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-7-G-L=3000mm-l1=____mm __ON, l2=____mm __ON",G3/8,3000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
,"LS-203P-5-1-7-G-L=4000mm-l1=____mm __ON, l2=____mm __ON",G3/8,4000,два,ПВДФ,50x75 (ПВДФ),SPST (230V AC/DC),два G - (ПВДФ)
